A,B,C,D,E,F,G,H,I,J,K,L,M
2,1,0,1,5,7,3,3,0,--z3,--ir,--k-induction,--max-k-step 10 --k-step 1,7
2,1,0,1,5,7,3,3,0,--z3,--ir,--k-induction,--max-k-step 30 --k-step 2,7
2,1,0,1,5,7,3,3,0,--z3,--ir,--k-induction,--max-k-step 50 --k-step 4,7
2,1,0,1,5,7,3,3,0,--z3,--ir,--k-induction,--max-k-step 100 --k-step 8,7
2,1,0,1,5,7,3,3,0,--z3,--ir,--k-induction,--max-k-step 200 --k-step 16,7
2,1,0,1,5,7,3,3,0,--z3,--ir,--k-induction,--max-k-step 400 --k-step 32,7
2,1,0,1,5,7,3,3,0,--z3,--ir,--k-induction,--max-k-step 800 --k-step 64,7
2,1,0,1,5,7,3,3,0,--z3,--ir,--k-induction,--max-k-step 1600 --k-step 128,7
2,1,0,1,5,7,3,3,0,--z3,--ir,--falsification,NA,7
2,1,0,1,5,7,3,3,0,--z3,--ir,--incremental-bmc,--max-k-step 10 --k-step 1,7
2,1,0,1,5,7,3,3,0,--z3,--ir,--incremental-bmc,--max-k-step 30 --k-step 2,7
2,1,0,1,5,7,3,3,0,--z3,--ir,--incremental-bmc,--max-k-step 50 --k-step 4,7
2,1,0,1,5,7,3,3,0,--z3,--ir,--incremental-bmc,--max-k-step 100 --k-step 8,7
2,1,0,1,5,7,3,3,0,--z3,--ir,--incremental-bmc,--max-k-step 200 --k-step 16,7
2,1,0,1,5,7,3,3,0,--z3,--ir,--incremental-bmc,--max-k-step 400 --k-step 32,7
2,1,0,1,5,7,3,3,0,--z3,--ir,--incremental-bmc,--max-k-step 800 --k-step 64,7
2,1,0,1,5,7,3,3,0,--z3,--ir,--incremental-bmc,--max-k-step 1600 --k-step 128,7
2,1,0,1,5,7,3,3,0,--z3,--floatbv,--k-induction,--max-k-step 10 --k-step 1,1
2,1,0,1,5,7,3,3,0,--z3,--floatbv,--k-induction,--max-k-step 30 --k-step 2,1
2,1,0,1,5,7,3,3,0,--z3,--floatbv,--k-induction,--max-k-step 50 --k-step 4,1
2,1,0,1,5,7,3,3,0,--z3,--floatbv,--k-induction,--max-k-step 100 --k-step 8,1
2,1,0,1,5,7,3,3,0,--z3,--floatbv,--k-induction,--max-k-step 200 --k-step 16,1
2,1,0,1,5,7,3,3,0,--z3,--floatbv,--k-induction,--max-k-step 400 --k-step 32,1
